ACTIVITYCODE,ACTIVITYENGLISH,ACTIVITYARABIC
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513933,Toys and Games Trading,تجارة لعب الأطفال
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513931,Gifts Trading,تجارة الهدايا
G513945,Suitcases and Travel Requisites Trading,تجارة الحقائب ولوازم السفر
G521904,General Trading,تجارة عامة
G503001,Auto Spare Parts and components Trading,تجارة قطع غيار السيارات والمركبات ومكوناتها
G521904,General Trading,تجارة عامة
G514204,Non-Manufactured Precious Metal Trading,تجارة الذهب والمعادن الثمينة غير المشغولة
G514300,Building and Construction Materials Trading,تجارة مواد البناء
G514208,Building Hardware and Tools Trading,تجارة عدد وأدوات البناء
G514209,Workshop Hardware and Tools Trading,تجارة عدد وأدوات الورش
G514206,"Bolts, Nuts, Screws and Nails Trading",تجارة أدوات الرباط ولوازمها
G515904,"Workshop Equipment, Machinery and Spare Parts Trading",تجارة معدات ومكائن الورش وقطع غيارها
G514339,Paint and Varnish Trading,تجارة الأصباغ والملمعات
G514329,Wooden Products Trading,تجارة المنتجات الخشبية
G515909,Fire Fighting and Safety Equipment Trading,تجارة معدات وأجهزة السلامة وإطفاء الحريق
G513102,"Blankets, Towels and Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
G513901,Handbags and Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513958,Perfumes and Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513931,Gifts Trading,تجارة الهدايا
G513933,Toys and Games Trading,تجارة لعب الأطفال
G521904,General Trading,تجارة عامة
G521904,General Trading,تجارة عامة
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
F454010,Engraving and Ornamentation Works,أعمال النقش والزخرفة
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454004,Painting Contracting,أعمال الأصباغ والدهانات
I630102,Cargo Loading and Unloading Services,خدمات تحميل وتفريغ البضائع
I630410,Air Cargo Agent,وكيل خطوط شحن جوي
I630105,Air Cargo Services,خدمات الشحن الجوي للبضائع
I630103,Cargo Packaging,خدمات حزم البضائع
G513958,Perfumes & Cosmetics Trading,تجارة العطور ومستحضرات التجميل
G513901,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية
G513117,Shoe Trading,تجارة الأحذية
G513931,Gifts Trading,تجارة الهدايا
G513927,Watches & Clocks & Spare Parts Trading,تجارة الساعات وقطع غيارها
G513934,Novelties Trading,تجارة التحف الفنية
G513930,Imitation Jewellery Trading,تجارة الحلي من غير المعادن الثمينة
G513961,Sunglasses Trading,تجارة النظارات الشمسية
G513913,Cookers & Cookstoves Trading,تجارة المواقد والأفران والطابخات
G513914,"Audio-Visual, Recording Equipment & Accessories Trading",تجارة الأجهزة السمعية والمرئية وأجهزة التسجيل ولوازمها
G515103,Computer & Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G513947,Photographic Equipment & Accessories Trading,تجارة آلات وأدوات التصوير ولوازمها
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G515104,Computer Equipment & Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G513112,Ladies Garment Trading,تجارة الملابس الجاهزة النسائية
G513107,Readymade Garments Trading,تجارة الملابس الجاهزة
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F454003,Floor and Wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
K749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن
F454011,Wall Paper Fixing,تركيب ورق الجدران
F454012,Partitions and False Ceilings Contracting,تركيب الأسقف المعلقة والقواطع الخفيفة
F454019,Cladding Works,أعمال التكسية
F454005,Carpentry and Flooring Contracting,أعمال النجارة وتركيب الأرضيات
I630403,Shipping Lines Agents,وكيل خطوط ملاحية
I630101,Customs Broker,المخلص الجمركي
I630102,Cargo Loading & Unloading Services,خدمات تحميل وتفريغ البضائع
I630104,Sea Cargo Services,خدمات الشحن البحري للبضائع
I630103,Cargo Packaging,خدمات حزم البضائع
G513101,Textile Trading,تجارة المنسوجات والأقمشة
G513102,"Blankets , Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513108,Arab Wear Trading,تجارة الملابس العربية
G513117,Shoe Trading,تجارة الأحذية
Other,Other Activity,نشاط آخر
G521904,General Trading,تجارة عامة
F453019,Fire Fighting Safety  Equipment Installation,تركيب معدات السلامة وإطفاء الحريق
F454003,Floor and wall Tiling Works,أعمال تبليط الأرضيات والحوائط
F454004,Painting Contracting,أعمال الأصباغ والدهانات
F454006,Insulation Contracting,تركيب المواد العازلة في الأبنية والمنشآت المدنية
G512232,Vegetables and Fruit Trading,تجارة الخضار والفواكه
G515207,Mobile Phones & Accessories Trading,تجارة الهواتف المتحركة
G515103,Computer and Data Processing Requisites Trading,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G515102,Computer Software Trading,تجارة نظم الحاسب الآلي وبرامجه
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513117,Shoe Trading,تجارة الأحذية
Other,Other Activity,نشاط آخر
G513101,Textile Trading,تجارة المنسوجات والأقمشة
D181016,Ladies' Tailoring,خياطة الملابس النسائية
G521904,General Trading,تجارة عامة
F453005,Electromechanical Equipment Installation and Maintenance,أعمال تركيب المعدات الكهروميكانيكية وصيانتها
F453013,Plumbing and Sanitary Contracting,أعمال التمديدات والتركيبات الصحية
F452021,General Maintenance,الصيانة العامة
F454009,Interior Decoration,أعمال تنفيذ التصميم الداخلي
F454007,Building Maintenance,صيانة المباني
F453014,Electrical Fitting Contracting,أعمال التمديدات الكهربائية
G514911,Rubber Trading,تجارة المطاط
G513904,"Stationery, Drawing and Writing Instruments Trading",تجارة الأدوات المكتبية وأدوات الكتابة والرسم
G513906,Invitation and Greeting Cards Trading,تجارة بطاقات التهنئة والدعوة
G515953,Calculators and Spare Parts Trading,تجارة الآلات الحاسبة وقطع غيارها
G515104,Computer Equipment Requisites Trading,تجارة أجهزة الحاسب الآلي ولوازمه
G513931,Gifts Trading,تجارة الهدايا
G502002,Auto Mechanical Repairing,إصلاح ميكانيكي للمركبات
G502003,Auto Electric Repairing,إصلاح كهرباء السيارات
G502006,Auto Denting and Painting,ترميم (سمكرة) ودهان هياكل المركبات
D342001,Vehicle Bodies Manufacturing,صناعة هياكل عربات النقل
D342002,Trailers Manufacturing,صناعة المقطورات
G521904,General Trading,تجارة عامة
G513107,Ready-made Garments Trading,تجارة الملابس الجاهزة
G513927,Watches and Spare Parts Trading,تجارة الساعات وقطع غيارها
